               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.024478,            0.017157,           0.0018074,             0.83156,             0.75954,             0.80585,             0.32831,            0.042956,            0.029463,           0.0090578,           0.0070353,           0.0070353,           0.0070353
                 127,            0.023873,            0.016657,           0.0017778,             0.85043,             0.73677,             0.80967,             0.33392,            0.042703,            0.029371,            0.008529,           0.0069948,           0.0069948,           0.0069948
                 128,             0.02463,            0.016713,           0.0013959,             0.80094,             0.78668,              0.8118,             0.33918,            0.042215,            0.027994,           0.0086409,           0.0069541,           0.0069541,           0.0069541
                 129,            0.024148,            0.017278,           0.0014275,             0.83612,             0.74911,             0.80885,             0.33965,            0.042213,             0.02859,           0.0085693,           0.0069134,           0.0069134,           0.0069134
                 130,            0.023608,            0.017203,            0.001462,             0.85425,             0.73151,             0.79679,             0.33268,              0.0427,             0.02796,           0.0096594,           0.0068726,           0.0068726,           0.0068726
                 131,            0.023859,            0.016724,           0.0015074,             0.80304,             0.77166,             0.80788,             0.34568,            0.042313,            0.029052,           0.0088103,           0.0068316,           0.0068316,           0.0068316
                 132,            0.023844,            0.017066,           0.0016098,             0.81802,             0.77959,             0.80301,             0.33531,            0.042569,            0.028267,           0.0087785,           0.0067906,           0.0067906,           0.0067906
                 133,            0.023523,            0.016986,           0.0016502,               0.834,             0.75728,             0.79606,             0.32749,            0.042727,            0.029644,           0.0085286,           0.0067495,           0.0067495,           0.0067495
                 134,            0.023179,             0.01674,           0.0014837,             0.80906,             0.75038,             0.78623,             0.32435,            0.043079,            0.029814,           0.0092156,           0.0067083,           0.0067083,           0.0067083
                 135,            0.022884,            0.016344,           0.0014834,             0.80396,             0.75643,             0.79826,             0.33253,            0.042735,            0.029494,           0.0087925,           0.0066671,           0.0066671,           0.0066671
                 136,            0.022829,            0.017288,            0.001414,             0.81911,              0.7522,             0.79561,             0.33244,            0.042773,            0.029124,           0.0088759,           0.0066257,           0.0066257,           0.0066257
                 137,            0.022873,            0.016124,           0.0016613,             0.84174,              0.7592,             0.80738,             0.33916,            0.042794,              0.0297,           0.0084416,           0.0065843,           0.0065843,           0.0065843
                 138,            0.022851,            0.016185,           0.0014944,             0.80136,             0.79704,             0.80578,             0.33977,            0.042474,            0.029595,           0.0093615,           0.0065429,           0.0065429,           0.0065429
                 139,             0.02293,            0.016907,           0.0012542,             0.84299,             0.74709,             0.79601,             0.33338,            0.042793,             0.03001,           0.0088044,           0.0065013,           0.0065013,           0.0065013
                 140,             0.02244,            0.016522,           0.0013536,             0.82153,             0.75681,             0.79564,             0.33006,            0.042901,            0.029475,           0.0093566,           0.0064597,           0.0064597,           0.0064597
                 141,            0.022707,            0.016232,           0.0014906,             0.81864,             0.76063,             0.80151,             0.33338,            0.042142,            0.029554,            0.009137,           0.0064181,           0.0064181,           0.0064181
                 142,            0.023122,            0.016116,           0.0018001,             0.82737,             0.77468,             0.81981,             0.34508,             0.04249,            0.028971,           0.0083971,           0.0063764,           0.0063764,           0.0063764
                 143,            0.022149,            0.015727,           0.0014866,             0.77799,             0.75321,             0.78564,             0.32587,            0.043303,             0.03015,           0.0096028,           0.0063347,           0.0063347,           0.0063347
                 144,            0.023129,            0.016873,           0.0015434,             0.83363,             0.74979,             0.79181,             0.33061,            0.043015,            0.028951,           0.0088972,            0.006293,            0.006293,            0.006293
                 145,            0.022523,            0.015989,           0.0014907,              0.8468,             0.74286,             0.79744,             0.34041,            0.042328,            0.029887,             0.00842,           0.0062512,           0.0062512,           0.0062512
                 146,            0.022111,            0.016166,           0.0013459,             0.83161,             0.75684,             0.80233,             0.33788,            0.042853,            0.030343,           0.0085007,           0.0062093,           0.0062093,           0.0062093
                 147,            0.022489,            0.016342,           0.0013866,             0.81087,             0.76039,             0.78348,             0.32372,            0.043429,            0.030211,           0.0094911,           0.0061675,           0.0061675,           0.0061675
                 148,            0.021836,            0.016298,           0.0012479,             0.83071,             0.76079,             0.79924,              0.3369,            0.043349,            0.029419,           0.0097523,           0.0061256,           0.0061256,           0.0061256
